nama_kelurahan,JULY,AUGUST,SEPTEMBER
PULAU KELAPA,43,45,60
PULAU PANGGANG,50,51,102
PULAU PARI,6,6,6
PULAU TIDUNG,29,32,36
PULAU UNTUNG JAWA,15,22,25
PULO,25,87,231
PULO GADUNG,106,215,316
PULO GEBANG,124,223,429
RAGUNAN,186,245,461
RAMBUTAN,91,235,364
RAWA BADAK SELATAN,236,317,422
RAWA BADAK UTARA,163,254,368
RAWA BARAT,27,51,73
RAWA BUAYA,67,145,273
RAWA BUNGA,21,65,125
RAWA JATI,97,138,239
RAWA TERATE,25,44,96
RAWAMANGUN,91,174,286
RAWASARI,271,441,605
ROA MALAKA,9,32,30
ROROTAN,86,167,304
SELONG,12,19,51
SEMANAN,149,244,355
SEMPER BARAT,223,377,565
SEMPER TIMUR,142,238,337
SENAYAN,22,26,42
SENEN,92,127,163
SERDANG,160,245,362
SETIA BUDI,29,42,70
SETU,94,150,217
SLIPI,180,312,442
SRENGSENG,133,201,364
SRENGSENG SAWAH,275,415,575
SUKABUMI SELATAN,105,146,228
SUKABUMI UTARA,96,130,233
SUKAPURA,217,317,494
SUMUR BATU,133,197,313
SUNGAI BAMBU,88,162,259
SUNTER AGUNG,359,543,787
SUNTER JAYA,309,468,689
SUSUKAN,63,160,363
TAMAN SARI,88,142,244
TAMBORA,69,115,166
TANAH SEREAL,138,191,258
TANAH TINGGI,185,247,381
TANGKI,89,133,211
TANJUNG BARAT,244,351,450
TANJUNG DUREN SELATAN,126,187,325
TANJUNG DUREN UTARA,96,145,227
TANJUNG PRIOK,149,232,409
TEBET BARAT,120,176,362
TEBET TIMUR,74,130,304
TEGAL ALUR,277,379,542
TEGAL PARANG,115,175,254
TOMANG,149,256,337
TUGU SELATAN,195,251,342
TUGU UTARA,397,531,729
UJUNG MENTENG,38,73,122
ULUJAMI,233,370,461
UTAN KAYU SELATAN,200,289,410
UTAN KAYU UTARA,125,218,321
UTAN PANJANG,157,220,311
WARAKAS,118,216,380
WIJAYA KUSUMA,172,232,296
